vdv_coef,acceptance_rate,total_tried,total_accepted,num_facets,degree_variance_0,degree_variance_hinge,mean_degree_0,mean_degree_hinge,objective
0.5000,0.317477,500055,158756,100012,2450.7324,6.9100,20.1242,5.0051,1270.0247
0.6250,0.315072,500050,157552,100009,2484.1004,6.9500,20.1246,5.0052,1596.1583
0.7812,0.316142,500045,158085,100010,2430.9559,6.9239,20.1258,5.0052,1948.5646
0.9766,0.316013,500080,158032,100008,2374.0194,6.8304,20.1254,5.0052,2364.8121
1.2207,0.315675,500055,157855,100012,2322.4757,6.7784,20.1302,5.0054,2907.5594
1.5259,0.314988,500080,157519,100009,2248.1360,6.6481,20.1256,5.0052,3478.1153
1.9073,0.313665,500055,156850,100010,2135.9868,6.5339,20.1217,5.0050,4107.4312
2.3842,0.314414,500070,157229,100014,2061.9046,6.4871,20.1215,5.0050,4953.3469
2.9802,0.311163,500075,155605,100013,1941.7861,6.3032,20.1254,5.0052,5837.6654
3.7253,0.310146,500055,155090,100015,1794.4448,6.1491,20.1227,5.0051,6728.1464
4.6566,0.309285,500070,154664,100012,1642.8057,5.9586,20.1242,5.0051,7694.1165
5.8208,0.310215,500060,155126,100012,1489.4987,5.8223,20.1231,5.0051,8710.1527
7.2760,0.311131,500075,155589,100012,1334.0994,5.6064,20.1211,5.0050,9739.5233
9.0949,0.309894,500055,154964,100010,1170.8029,5.3759,20.1207,5.0050,10677.5125
11.3687,0.307864,500045,153946,100013,1011.8494,5.1342,20.1193,5.0049,11531.0496
14.2109,0.310718,500065,155379,100008,876.3554,4.9248,20.1183,5.0049,12473.6447
17.7636,0.307928,500065,153984,100010,750.7391,4.7209,20.1146,5.0048,13347.4357
22.2045,0.310359,500030,155189,100011,631.4509,4.5097,20.1199,5.0050,14047.0314
27.7556,0.311066,500045,155547,100013,534.6954,4.2987,20.1223,5.0051,14876.8312
34.6945,0.310041,500060,155039,100011,453.4677,4.0875,20.1199,5.0050,15757.5080
43.3681,0.308812,500045,154420,100012,379.8097,3.8605,20.1171,5.0049,16488.3630
54.2101,0.311405,500060,155721,100012,317.5878,3.6610,20.1161,5.0048,17229.5775
67.7626,0.312139,500050,156085,100014,265.0229,3.4839,20.1154,5.0048,17971.7575
84.7033,0.310096,500065,155068,100011,221.3739,3.2969,20.1199,5.0050,18770.5123
105.8791,0.308534,500065,154287,100010,181.4254,3.0870,20.1157,5.0048,19214.0369
132.3489,0.307321,500070,153682,100013,148.3652,2.9203,20.1163,5.0048,19642.8395
165.4361,0.303318,500060,151677,100014,119.3356,2.7552,20.1165,5.0048,19747.8533
206.7952,0.300790,500060,150413,100008,95.3817,2.6329,20.1213,5.0050,19733.3827
258.4939,0.296938,500030,148478,100011,73.9247,2.4843,20.1189,5.0049,19107.2439
323.1174,0.291622,500090,145837,100012,56.6504,2.3680,20.1231,5.0051,18310.6101
403.8968,0.285708,500070,142874,100010,42.6906,2.3015,20.1207,5.0050,17229.8096
504.8710,0.278649,500030,139333,100011,32.3375,2.2528,20.1260,5.0052,16321.9191
631.0887,0.272448,500055,136239,100010,24.8064,2.2451,20.1298,5.0054,15652.2972
788.8609,0.264575,500035,132297,100009,19.1811,2.2207,20.1296,5.0054,15109.0666
986.0761,0.254472,500040,127246,100012,15.0481,2.2301,20.1282,5.0053,14790.9143
1232.5952,0.243768,500065,121900,100014,11.6939,2.2300,20.1286,5.0053,14342.9354
1540.7440,0.229384,500040,114701,100008,9.2634,2.2177,20.1274,5.0053,14156.7318
1925.9299,0.215323,500045,107671,100009,7.4415,2.2225,20.1276,5.0053,14174.4497
2407.4124,0.195669,500075,97849,100014,6.0780,2.2156,20.1286,5.0053,14429.6318
3009.2655,0.176101,500055,88060,100012,5.0041,2.2179,20.1282,5.0053,14784.9965
3761.5819,0.156796,500070,78409,100009,4.0813,2.2072,20.1276,5.0053,14990.4989
4701.9774,0.133119,500065,66568,100009,3.4023,2.2161,20.1276,5.0053,15531.0312
5877.4718,0.109063,500095,54542,100017,2.8798,2.2164,20.1292,5.0054,16340.6648
7346.8397,0.081013,500080,40513,100022,2.4593,2.2028,20.1302,5.0054,17330.7382
9183.5496,0.057550,500105,28781,100026,2.1307,2.2131,20.1310,5.0054,18634.6635
11479.4370,0.036017,500095,18012,100020,1.8138,2.2155,20.1298,5.0054,19611.0887
14349.2963,0.021019,500125,10512,100026,1.5941,2.2012,20.1310,5.0054,21353.8028
17936.6203,0.010243,500165,5123,100038,1.4280,2.1956,20.1334,5.0055,23729.1929
22420.7754,0.004814,500195,2408,100041,1.3381,2.1955,20.1340,5.0056,27611.8123
